Method,Fidelity,Stability,Silhouette,DB,Interpretability,Time,Score
g+s,3.7572630915697665,0.9490972871907551,0.09823367319502765,2.191057660595222,0.8903061224489796,0.001895437240600586,1.216393333052965
shap,3.6619020856637507,0.9931017323547288,0.046008207430423005,3.2036003046367525,0.9679081632653062,0.0019929146766662596,1.087424220262053
s+l,3.1633033742476253,0.9444643939523075,0.1362107568177649,2.1199861675866223,0.8521683673469389,0.001964461803436279,1.0519653380861103
all,3.1047160980571062,0.946596327830018,0.11692197572603602,2.2790774620593646,0.8460586734693877,0.0020247864723205566,1.0125088088419485
gradcam,2.350199816385284,0.8935113549232483,0.09236488491296768,2.5301011582157633,0.89172193877551,0.0022151541709899904,0.7476337683707966
g+l,1.7996491169463844,0.931084339967091,0.12602173998459876,2.1714399815417322,0.8037244897959183,0.0019997382164001465,0.6271465758981316
lime,0.7051828303653747,0.9108908723810937,0.1993202525236689,1.9281512501151448,0.8171428571428571,0.0019105029106140136,0.34242826004570304
